,control,arab__L,acgam,glcr,succ,gal,asp__L,pro__L,ala__D,tre,man,galt,ser__D,sbt__D,glyc,fuc__L,glcur,glcn,glyc3p,xyl__D,lac__L,for,mnl,glu__L,g6p,galctn__D,mal__D-mal__L,rib__D,rmn,fru,ac,glc__D,malt,melib,thymd,asn__L,12ppd__S,akg,2obut,lcts,sucr,uri,gln__L,g1p,f6p,malttr,dad_2,adn,cit,inost,fum,ppa,galct__D,glyclt,glx,ins,ser__L,thr__L,ala__L,acac,acmana,mal__D,mal__L,tym,lyx__L,pyr,galctn__L,galur,peamn,etha,glycogen,acgal,acnam,all__D,arbt,4abut,but,dca,hxa,4hbz,5dglcn,oxa,quin,tartr__D,tartr__L,acglu,arg__L,gly,his__L,hom__L,ile__L,leu__L,lys__L,met__L,orn,phe__L,val__L,crn-crn__D,ptrc,dha,nh4,no2,no3,urea,cys__L,trp__L,tyr__L,glu__D,citr__L,agm,gam,ade,cytd,csn,gua,gsn,thym,ura,xan,xtsn,urate,alltn,ala__L-asp__L,ala__L-gln__L,ala__L-glu__L,ala__L-gly,ala__L-his__L,ala__L-leu__L,ala__L-thr__L,gly-asn__L,gly-gln__L,gly-glu__L,gly-met__L,met__L-ala__L,pi,ppi,3amp,amp,23camp,2pg,3pg,3gmp,gmp,23cgmp,pep,2pglyc,gam6p,6pgc,3cmp,cmp,23ccmp,man1p,man6p,pser__L,thrp,3ump,ump,23cump,tyrp,dtmp,minohp,so4,tsul,cys__D,cgly,3sala,cyst__L,gthrd,met__D,metsox_S__L,taur,butso3,isetac,mso3
PPND,0.13568421240203798,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787,0.13568421240203787
PPNDH,0.18199911388486428,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414,0.18199911388486414
PPPGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPPGO3,0.00021906891423811693,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674,0.00021906891423811674
PPPNDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPPNt2rpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPPNtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPTHpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPTtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRAGSr,0.4403363765931074,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965
PRAIS,0.4403363765931074,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965,0.44033637659310965
